MATCH_ID,Batter,Dismissal,Runs,Balls,Minutes,4s,6s,SR
"1st Match (N), Chennai, March 22",Virat Kohli,out,21,20,46,0,1,105.00
"1st Match (N), Chennai, March 22",Faf du Plessis (c),out,35,23,21,8,0,152.17
"1st Match (N), Chennai, March 22",Rajat Patidar,out,0,3,2,0,0,0.00
"1st Match (N), Chennai, March 22",Glenn Maxwell,out,0,1,2,0,0,0.00
"1st Match (N), Chennai, March 22",Cameron Green,out,18,22,20,1,0,81.81
"1st Match (N), Chennai, March 22",Anuj Rawat †,out,48,25,50,4,3,192.00
"1st Match (N), Chennai, March 22",Dinesh Karthik,not out,38,26,45,3,2,146.15
"1st Match (N), Chennai, March 22",Ruturaj Gaikwad (c),out,15,15,19,3,0,100.00
"1st Match (N), Chennai, March 22",Rachin Ravindra,out,37,15,33,3,3,246.66
"1st Match (N), Chennai, March 22",Ajinkya Rahane,out,27,19,26,0,2,142.10
"1st Match (N), Chennai, March 22",Daryl Mitchell,out,22,18,23,0,2,122.22
"1st Match (N), Chennai, March 22",Shivam Dube,not out,34,28,43,4,1,121.42
"1st Match (N), Chennai, March 22",Ravindra Jadeja,not out,25,17,31,0,1,147.05
"2nd Match (D/N), Mullanpur, March 23",David Warner,out,29,21,35,3,2,138.09
"2nd Match (D/N), Mullanpur, March 23",Mitchell Marsh,out,20,12,16,2,2,166.66
"2nd Match (D/N), Mullanpur, March 23",Shai Hope,out,33,25,30,2,2,132.00
"2nd Match (D/N), Mullanpur, March 23",Rishabh Pant (c)†,out,18,13,19,2,0,138.46
"2nd Match (D/N), Mullanpur, March 23",Ricky Bhui,out,3,7,33,0,0,42.85
"2nd Match (D/N), Mullanpur, March 23",Tristan Stubbs,out,5,8,14,0,0,62.50
"2nd Match (D/N), Mullanpur, March 23",Axar Patel,out,21,13,18,2,1,161.53
"2nd Match (D/N), Mullanpur, March 23",Sumit Kumar,out,2,9,18,0,0,22.22
"2nd Match (D/N), Mullanpur, March 23",Abishek Porel,not out,32,10,17,4,2,320.00
"2nd Match (D/N), Mullanpur, March 23",Kuldeep Yadav,out,1,2,1,0,0,50.00
"2nd Match (D/N), Mullanpur, March 23",Shikhar Dhawan (c),out,22,16,17,4,0,137.50
"2nd Match (D/N), Mullanpur, March 23",Jonny Bairstow,out,9,3,22,2,0,300.00
"2nd Match (D/N), Mullanpur, March 23",Prabhsimran Singh,out,26,17,32,5,0,152.94
"2nd Match (D/N), Mullanpur, March 23",Sam Curran,out,63,47,72,6,1,134.04
"2nd Match (D/N), Mullanpur, March 23",Jitesh Sharma †,out,9,9,11,1,0,100.00
"2nd Match (D/N), Mullanpur, March 23",Liam Livingstone,not out,38,21,38,2,3,180.95
"2nd Match (D/N), Mullanpur, March 23",Shashank Singh,out,0,1,1,0,0,0.00
"2nd Match (D/N), Mullanpur, March 23",Harpreet Brar,not out,2,2,4,0,0,100.00
"3rd Match (N), Eden Gardens, March 23",Phil Salt †,out,54,40,68,3,3,135.00
"3rd Match (N), Eden Gardens, March 23",Sunil Narine,out,2,4,11,0,0,50.00
"3rd Match (N), Eden Gardens, March 23",Venkatesh Iyer,out,7,5,7,1,0,140.00
