MATCH_ID,Bowler,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,Wide,NB,NA
"1st Match (N), Chennai, March 22",Deepak Chahar,4,0,37,1,9.25,10,7,0,2,0,
"1st Match (N), Chennai, March 22",Tushar Deshpande,4,0,47,0,11.75,10,4,3,5,0,
"1st Match (N), Chennai, March 22",Maheesh Theekshana,4,0,36,0,9.00,4,1,2,0,0,
"1st Match (N), Chennai, March 22",Mustafizur Rahman,4,0,29,4,7.25,12,3,1,2,0,
"1st Match (N), Chennai, March 22",Ravindra Jadeja,4,0,21,0,5.25,8,1,0,0,0,
"1st Match (N), Chennai, March 22",Mohammed Siraj,4,0,38,0,9.50,9,5,1,1,0,
"1st Match (N), Chennai, March 22",Yash Dayal,3,0,28,1,9.33,8,3,1,0,0,
"1st Match (N), Chennai, March 22",Alzarri Joseph,3.4,0,38,0,10.36,5,1,2,4,0,
"1st Match (N), Chennai, March 22",Karn Sharma,2,0,24,1,12.00,4,0,3,0,0,
"1st Match (N), Chennai, March 22",Mayank Dagar,2,0,6,0,3.00,6,0,0,0,0,
"1st Match (N), Chennai, March 22",Cameron Green,3,0,27,2,9.00,5,1,1,3,0,
"1st Match (N), Chennai, March 22",Glenn Maxwell,1,0,7,0,7.00,4,0,1,0,0,
"2nd Match (D/N), Mullanpur, March 23",Sam Curran,1,0,10,0,10.00,3,2,0,1,0,
"2nd Match (D/N), Mullanpur, March 23",Arshdeep Singh,4,0,28,2,7.00,15,2,2,2,0,
"2nd Match (D/N), Mullanpur, March 23",Kagiso Rabada,4,0,36,1,9.00,12,1,4,1,0,
"2nd Match (D/N), Mullanpur, March 23",Harpreet Brar,3,0,14,1,4.66,7,1,0,0,0,
"2nd Match (D/N), Mullanpur, March 23",Rahul Chahar,4,0,33,1,8.25,6,3,1,0,0,
"2nd Match (D/N), Mullanpur, March 23",Harshal Patel,4,0,47,2,11.75,7,6,2,0,0,
"2nd Match (D/N), Mullanpur, March 23",Khaleel Ahmed,4,0,43,2,10.75,7,8,0,0,0,
