Match_ID,Winner
"1st Match (N), Chennai, March 22",CSK
"2nd Match (D/N), Mullanpur, March 23",PBKS
"3rd Match (N), Eden Gardens, March 23",KKR
"4th Match (D/N), Jaipur, March 24",RR
"5th Match (N), Ahmedabad, March 24",GT
"6th Match (N), Bengaluru, March 25",RCB
"7th Match (N), Chennai, March 26",CSK
"8th Match (N), Hyderabad, March 27",SRH
"9th Match (N), Jaipur, March 28",RR
"10th Match (N), Bengaluru, March 29",KKR
"11th Match (N), Lucknow, March 30",LSG
"12th Match (D/N), Ahmedabad, March 31",GT
"13th Match (N), Visakhapatnam, March 31",DC
"14th Match (N), Wankhede, April 01",RR
"15th Match (N), Bengaluru, April 02",LSG
"16th Match (N), Visakhapatnam, April 03",KKR
"17th Match (N), Ahmedabad, April 04",PBKS
"18th Match (N), Hyderabad, April 05",SRH
"19th Match (N), Jaipur, April 06",RR
"20th Match (D/N), Wankhede, April 07",MI
"21st Match (N), Lucknow, April 07",LSG
"22nd Match (N), Chennai, April 08",CSK
"23rd Match (N), Mullanpur, April 09",SRH
"24th Match (N), Jaipur, April 10",GT
"25th Match (N), Wankhede, April 11",MI
"26th Match (N), Lucknow, April 12",DC
"27th Match (N), Mullanpur, April 13",RR
"28th Match (D/N), Eden Gardens, April 14",KKR
"29th Match (N), Wankhede, April 14",CSK
"30th Match (N), Bengaluru, April 15",SRH
"31st Match (N), Eden Gardens, April 16",RR
"32nd Match (N), Ahmedabad, April 17",DC
"33rd Match (N), Mullanpur, April 18",MI
"34th Match (N), Lucknow, April 19",LSG
"35th Match (N), Delhi, April 20",SRH
"36th Match (D/N), Eden Gardens, April 21",KKR
"37th Match (N), Mullanpur, April 21",GT
"38th Match (N), Jaipur, April 22",RR
"39th Match (N), Chennai, April 23",LSG
"40th Match (N), Delhi, April 24",DC
"41st Match (N), Hyderabad, April 25",RCB
"42nd Match (N), Eden Gardens, April 26",PBKS
"43rd Match (D/N), Delhi, April 27",DC
"44th Match (N), Lucknow, April 27",RR
"45th Match (D/N), Ahmedabad, April 28",RCB
"46th Match (N), Chennai, April 28",CSK
"47th Match (N), Eden Gardens, April 29",KKR
"48th Match (N), Lucknow, April 30",LSG
"49th Match (N), Chennai, May 01",PBKS
"50th Match (N), Hyderabad, May 02",SRH
"51st Match (N), Wankhede, May 03",KKR
"52nd Match (N), Bengaluru, May 04",RCB
"53rd Match (D/N), Dharamsala, May 05",CSK
"54th Match (N), Lucknow, May 05",KKR
"55th Match (N), Wankhede, May 06",MI
"56th Match (N), Delhi, May 07",DC
"57th Match (N), Hyderabad, May 08",SRH
"58th Match (N), Dharamsala, May 09",RCB
"59th Match (N), Ahmedabad, May 10",GT
"60th Match (N), Eden Gardens, May 11",KKR
"61st Match (D/N), Chennai, May 12",CSK
"62nd Match (N), Bengaluru, May 12",RCB
"63rd Match (N), Ahmedabad, May 13",Match
"64th Match (N), Delhi, May 14",DC
"65th Match (N), Guwahati, May 15",PBKS
"66th Match (N), Hyderabad, May 16",Match
"67th Match (N), Wankhede, May 17",LSG
"68th Match (N), Bengaluru, May 18",RCB
"69th Match (D/N), Hyderabad, May 19",SRH
"70th Match (N), Guwahati, May 19",No
"Qualifier 1 (N), Ahmedabad, May 21",KKR
"Eliminator (N), Ahmedabad, May 22",RR
"Qualifier 2 (N), Chennai, May 24",SRH
"Final (N), Chennai, May 26",KKR
