name,image,team,role
Ruturaj Gaikwad,https://documents.iplt20.com/ipl/IPLHeadshot2024/102.png,Chennai Super Kings,Batter
Devon Conway,https://documents.iplt20.com/ipl/IPLHeadshot2023/601.png,Chennai Super Kings,Batter
MS Dhoni,https://documents.iplt20.com/ipl/IPLHeadshot2024/57.png,Chennai Super Kings,Wicketkeeper Batter
Ajinkya Rahane,https://documents.iplt20.com/ipl/IPLHeadshot2024/44.png,Chennai Super Kings,Batter
Shaik Rasheed,https://documents.iplt20.com/ipl/IPLHeadshot2024/778.png,Chennai Super Kings,Batter
Sameer Rizvi,https://documents.iplt20.com/ipl/IPLHeadshot2024/1229.png,Chennai Super Kings,Batter
Avanish Rao Aravelly,https://documents.iplt20.com/ipl/IPLHeadshot2024/2794.png,Chennai Super Kings,Wicketkeeper Batter
Ravindra Jadeja,https://documents.iplt20.com/ipl/IPLHeadshot2024/46.png,Chennai Super Kings,All-rounder
Mitchell Santner,https://documents.iplt20.com/ipl/IPLHeadshot2024/75.png,Chennai Super Kings,All-rounder
Moeen Ali,https://documents.iplt20.com/ipl/IPLHeadshot2024/206.png,Chennai Super Kings,All-rounder
Shivam Dube,https://documents.iplt20.com/ipl/IPLHeadshot2024/211.png,Chennai Super Kings,All-rounder
Nishant Sindhu,https://documents.iplt20.com/ipl/IPLHeadshot2024/791.png,Chennai Super Kings,All-Rounder
Ajay Mandal,https://documents.iplt20.com/ipl/IPLHeadshot2024/1931.png,Chennai Super Kings,All-Rounder
Rachin Ravindra,https://documents.iplt20.com/ipl/IPLHeadshot2024/724.png,Chennai Super Kings,allRounder
Shardul Thakur,https://documents.iplt20.com/ipl/IPLHeadshot2024/105.png,Chennai Super Kings,allRounder
Daryl Mitchell,https://documents.iplt20.com/ipl/IPLHeadshot2024/83.png,Chennai Super Kings,All-rounder
Richard Gleeson,https://documents.iplt20.com/ipl/IPLHeadshot2024/1219.png,Chennai Super Kings,Bowler
Rajvardhan Hangargekar,https://documents.iplt20.com/ipl/IPLHeadshot2024/783.png,Chennai Super Kings,Bowler
Deepak Chahar,https://documents.iplt20.com/ipl/IPLHeadshot2024/91.png,Chennai Super Kings,Bowler
Maheesh Theekshana,https://documents.iplt20.com/ipl/IPLHeadshot2024/629.png,Chennai Super Kings,Bowler
Mukesh Choudhary,https://documents.iplt20.com/ipl/IPLHeadshot2024/970.png,Chennai Super Kings,Bowler
Mustafizur Rahman,https://documents.iplt20.com/ipl/IPLHeadshot2024/258.png,Chennai Super Kings,Bowler
Prashant Solanki,https://documents.iplt20.com/ipl/IPLHeadshot2024/972.png,Chennai Super Kings,Bowler
Simarjeet Singh,https://documents.iplt20.com/ipl/IPLHeadshot2024/622.png,Chennai Super Kings,Bowler
Tushar Deshpande,https://documents.iplt20.com/ipl/IPLHeadshot2024/539.png,Chennai Super Kings,Bowler
Matheesha Pathirana,https://documents.iplt20.com/ipl/IPLHeadshot2024/1014.png,Chennai Super Kings,Bowler
Rishabh Pant,https://documents.iplt20.com/ipl/IPLHeadshot2024/18.png,Delhi Capitals,Wicketkeeper Batter
David Warner,https://documents.iplt20.com/ipl/IPLHeadshot2024/214.png,Delhi Capitals,Batter
Prithvi Shaw,https://documents.iplt20.com/ipl/IPLHeadshot2024/51.png,Delhi Capitals,Batter
Yash Dhull,https://documents.iplt20.com/ipl/IPLHeadshot2024/777.png,Delhi Capitals,Batter
Jake Fraser-McGurk,https://documents.iplt20.com/ipl/IPLHeadshot2024/3115.png,Delhi Capitals,Bowler
Shai Hope,https://documents.iplt20.com/ipl/IPLHeadshot2024/268.png,Delhi Capitals,Batter
Swastik Chhikara,https://documents.iplt20.com/ipl/IPLHeadshot2024/3102.png,Delhi Capitals,Batter
Abishek Porel,https://documents.iplt20.com/ipl/IPLHeadshot2024/1580.png,Delhi Capitals,Wicketkeeper Batter
Harry Brook,https://www.iplt20.com/assets/images/default-headshot.png,Delhi Capitals,Batter
Ricky Bhui,https://documents.iplt20.com/ipl/IPLHeadshot2024/219.png,Delhi Capitals,Wicketkeeper Batter
Kumar Kushagra,https://documents.iplt20.com/ipl/IPLHeadshot2024/3101.png,Delhi Capitals,Wicketkeeper Batter
Tristan Stubbs,https://documents.iplt20.com/ipl/IPLHeadshot2024/1017.png,Delhi Capitals,Wicketkeeper Batter
Axar Patel,https://documents.iplt20.com/ipl/IPLHeadshot2024/110.png,Delhi Capitals,All-rounder
Lalit Yadav,https://documents.iplt20.com/ipl/IPLHeadshot2024/538.png,Delhi Capitals,All-Rounder
Mitchell Marsh,https://documents.iplt20.com/ipl/IPLHeadshot2024/40.png,Delhi Capitals,All-rounder
Gulbadin Naib,https://documents.iplt20.com/ipl/IPLHeadshot2024/234.png,Delhi Capitals,Batting Allrounder
Sumit Kumar,https://documents.iplt20.com/ipl/IPLHeadshot2024/1535.png,Delhi Capitals,allRounder
Pravin Dubey,https://documents.iplt20.com/ipl/IPLHeadshot2024/548.png,Delhi Capitals,Bowler
Vicky Ostwal,https://documents.iplt20.com/ipl/IPLHeadshot2024/786.png,Delhi Capitals,Bowler
